Map Name,psalter_pictorial_map_normalized_reading,Psalter_Pictorial_Map_Diplomatic_Reading,psalter_list_map_normalized_reading,Psalter_List_Map_Diplomatic_Reading,munich_isidore_map_normalized_reading (munich clm 10058 f. 154v),Munich_Isidore_Map_Diplomatic_Reading (Munich Clm 10058 f. 154v),descriptio_hsv_map_normalized_reading,Descriptio_HSV_Map_Diplomatic_Reading_Index,lambert_de_saint_omer_ map(s)_normalized_reading,Lambert_de_Saint-Omer_ Map(s)_Diplomatic_Reading,cotton_map_normalized_reading,Cotton_Map_Diplomatic_Reading,bl_royal_14.c_ix_map_normalized_reading,BL_Royal_14.C_IX_Map__Diplomatic_Reading,chronicon_hsv_map_normalized_reading_paris_bn150009,Chronicon_HSV_Map_Diplomatic_Reading,sawley_map_normalized_reading,Sawley_Map_Diplomatic_Reading,hereford_map_normalized_reading,Hereford_Map_Diplomatic_Reading
Places,albania inferior,Albania Inferior,india,India,subsolanus v.,subsolanus,abarim m.,Abarim,hispania,Hispania,verona,Verona,cartago in africa,cartago,asia,Asia,pactolus fl.,pactolus,marsop? parandus?,marsop?
,amazones g.,Amazones,parthia r.,Parthia,eurus v.,eurus,abidos c.,abidos,hesperia r.,Hesperia,islandia,Island,antipedes g.,Antipedes,europa,Europa,basilicus,basiliscus,chersonesos?,canospatos
,albania superior,Albania Superior,media r.,Media,euroauster v.,euroauster,abidos i.,Abidos,lusitania,Lusitania,philistea,Philistea,apulia,apulia,africa,Affrica,are philenorum,are filenorum,sicilia,sicaria
,armenia,Armenia ,africa,Affrica,auster v.,auster,abricatina,Abricatina,galicia,Gallicia,nineveh,Ninive,gens istius insule,gens istius insule,india,India,tabor m.,tabor,gasan,gasan
,persia,Persida,persia,Persia,libonothus v.,austroafricus qui et libonothus,accon,Accaron,terracona c.,Terracona,eudemon,Eudemon,britannia minor,britannia minor,aracusia,Aracusia,auxona fl.,Fl. Auxona,pellicie,pellicie
,hyrcania,Hircania,mesopotamia,Mesopotamia,austroafricus v.,austroafricus qui et libonothus,actia nicopolis,Accia,barcinona,Barcinona,luna,Luna,amazones g.,amasones,parthia r.,parthia,arabia,arabia,triballi,trivalli
,coromarces r.,Regio coro,chaldea,Caldea,africus v.,africus ,achaia,Achaia,hiberis fl.,Yberus,aracusia,Aracusia,atlas m.,mons atlas,assiria,assiria,egyptus superior,egytus superior,astabus fl.,fluvius astabus
,lachis,Lachis,arabia,Arabia,chorus v.,chorus,acrocerauni m.,Acrocerauni,pirenei m.,Mons piereneus,macedonia,Macedonia,francia,francia,persia,persis,mauritania cesariensis,mauritania cesariensis,piperis silva,Siluas pipereas
,antiochia,Antiochia,siria,Syria,boreus v.,aquilo qui et boreus,adanum i.,Adamantus,gallia,Gallia,india,India,agrisus v.,agrisus,indus fl.,indum,enos c.,enos civitas,caria,caria insula
,accon,Arcaron,judea,Judea,aquilo v.,aquilo qui et boreus,adrianopolis,Adrianopolis,aquitania,Aquitania,salerna,Salerna,persepolis,civitas persipolis,tigris fl.,tigrim,pisa,pisa,mecca?,mekesus civitas
,cesarea in palestine,Cesarea Palestine,galilea,Galilea,wulturnus v.,uulturnus,adriaticus s.,Adriaticum,narbona c.,Bracata/Narbona,suthbryttas,Suthbryttas,wallia,wallia,mesopotamia,Mesopotamia,neptalim,neptalim,narbonne,narbona
