normalized,diplomatic
cartago in africa,cartago
antipedes g.,Antipedes
apulia,apulia
gens istius insule,gens istius insule
britannia minor,britannia minor
amazones g.,amasones
atlas m.,mons atlas
francia,francia
agrisus v.,agrisus
persepolis,civitas persipolis
wallia,wallia
anglia,anglia
capadocia r.,capadocia
thasos?,tyrus
membriona,menbriona insula
dalmatia,dalmacia
geloni,gelonii
pamphilia r.,pamphilia
persia,persida
alania,alania
caspium mare,mare caspium
numidia,numidia
alemannia,alamania
perisus v.,perisus
neapolis,neapolis
westfalia,wesfalia
liguricus s.,ligusticus sinus
cirene,cirene
sestos c.,cestos insula
corsica,maior corsica
trachias v.,trachias
galilea,galile
babilon c.,babilonia
babilonia r.,babilonia
libani m.,mons libani
ligeris fl.,fluvius ligerus
boreus v.,boreas
provincia r.,provincia
genolamides,genolamides
tigris fl.,tigris
euphrates fl.,eufrates
amazonia r.,amasones
bragmani g.,bragmanni
ethiopia occidentalis,ethiopia occidentalis
madian,madian
gaditanum fretum,gaditanum fretum
flandria,flandria
trogodite,trogodite
gallicus s.,sinus gallicus
gloucester,gloucester
aquilo v.,aquilo
gades,gades
aurea i.,aurea insula
nicomedia,nicomedia
persicus s.,sinus persicus
ethiopia orientalis,ethiopia orientalis
italia,ytalia
amonite,amon
burgundia,burgundia
scythia inferiore,sithia inferior
wulturnus v.,wulturnus
oxonium,oxonium
apris i.,apris
damascus,damascus
boemia,boemia
patroticanes,patroticanes
fortunate,insule fortunate
wandalia r.,wandaly
arcadia,arcadia
femine,femine
picardia,picardia
ioppe,ioppe
sirtes minores,cirtes minores
fenicea,fenicea
islandia,yslandie
histria,histria
favonius v.,favonius
mesopotamia,mespotanea
germania,germania
aradia i.,aradia insula
hermifrodites,hermifrodites
libia cirenensis,libia cirensis
nivaria i.,nibaria insula
adriaticum mare,mare adriticum
ferrea,ferrea insula
tyrus,tyrus
tuscia,truscia
hyperborea g.,gens yporborea
colax i.,colax
baleares s.,sinus baliaris
ethiopia i.,ethiopia insula
moab,moab
garamantes,garamantes
idumea,ydimea
cornubia,cornubia
troga,troga
jericho,ierico
jerusalem,ierusalem
wigorna,wigorna
taurus m.,mons Taurus
campania,campania
londonia,londonium
libia,libia
saxonia,saxonia
campes i.,campes insula
auster v.,auster
turringia,turringia
norwegia,nortwegia
tracia r.,thrace
riphei m.,montes riphei
wintland,witland
chaldea,caldea
ciophegi,ciophegi
circius v.,circius
deram,deram
babel,babel
estalatine,estalatine
syon m.,mons syon
parisius,parisius
libia libia v.,libia libia
ascalon,ascalon
lincolina c.,lincolina
scotia,scocia
wasconia,vasconia
pharici,farici
labro prominente g.,gens labro prominente
isauria? licia?,provincia ysauriea? Lycia?
scythia superiore,sithia superior
franconia,franconia
mauretania superiore,mauritania superior
euroauster v.,euro auster
meotides paludes,meotides palus
transitus hebreorum,transistus ebreorum
arabia,arabia
psambari,prosumbari
euxinum mare,mare eusinum
nothus v.,nothus
eliothes v.,eliothes
hibernia,ybernia
alpes godard,alpes godard
parthia r.,partya
ophir?,orife insula
malva fl.,malva
egyptus,egiptus
notingera,notyngera
oliveti m.,mons oliveti
sina m.,mons syna
monoculi,monocollus
carent linguis g.,gentes carent linguis
austerafricus v.,auster affricus
columpne herculis,columpne herculis
septentrio v.,septentrio
jordanis fl.,iordanis
oriens,oriens
assiria,asyria
accon,civitas acon
bononica i.,bononica insula
numidia,nyundia
rubrum mare,mare rubrum
pruscia r.,pruscia
sancti jacobi c.,sancti iacobi
sirtes maiores,cirtes maiores
ethiopes arabea g.,gens arabea ethiops
siria,syria
arumphei,arimphei
calvarie m.,mons calvarie
grecia,grecia
dacia,dacia
capua,capua
sicilia,sicilia
saba,saba
cessias i.,cessias insula
parnias v.,parnias
tile,thilos insula
capria i.,insule caprarie
subsolanus v.,subsolanus
arsida,arsida insula
pictavia r.,pictavia
pigmei,pigmei
moesia,misea
hyrcania,hyrcania
galatia,gallacia
hungaria,hungaria
tyle,Tile insula
palestina,palestina
cyclopes g.,culopes
sirtis,cirses
northampton,northampton
mortuum mare,mare mortuum
retia,rethica
sidissay,civitas sidissay
bithynia,bithinice
sirtes,cirtes
getulia,getulia
normannia,normannia
helles fl.,ellodia
ora conserta g.,gentes habent ora conserta
selandia,selandia
pathmos,pathmos
amalach r.,regio amalech
turris in macedonia,turre macedonia
eurus v.,eurus graece
renus fl.,renus fluvius
suevia,suevia
nilus,nilus
bizantium,byzancium
egyptium mare,mare egiptiacum
corsica,corsica
cyprus,cyprus
frisia,friscia
albania,albania
aquitania,aquitania gallia
eboracum,eborum
brabancia,brabancia
danubius fl.,danubius fluvius
euronothus v.,euro nothus
tripolitana r.,tripolitana
india ultima,ultima india
cilicia,silisia
hanaldia,hanaldia
libonothus v.,libonothus
anthropophagi,androfagi
africa,affricus
zephirus v.,epherus
soldanus tarsie,soldanus tarsie
trogodite,trigogites
crise,crisa insula
gymnosophiste,gignosophiste
narbonensis r.,nabonensis
hiberia,hyberia
sidon c.,sidon
braca i.,braca insula
malva fl.,malva
carmania,carmana
cephalonia i.,insula cefalonia
adanum i.,adanus insula
bristol,bristol
janua,ianua
andegavia r.,andegavia
baleares i.,insule baliaris
sine naribus,gentes sine naribus
alexandria in egyptus c.,alexandria
bavaria,bavaria
arca noe,archa noe
philenorum are,are philanorum
italicus s.,ytalicus sinus
man,insula man
ethiopia calidissima,ethiopia calidissima
creta,creta
colonia,colonia
homines canescunt in iuventute et nigrescunt in senectute,homines canescunt in iuventute
hispania,hispania
brundisium,brundiston
termineus s.,sinus termineus
excester,excester
stanford,stanford
propontides i.,propontides insula
malichu i.,malicus insule
armenie m.,mons armenie
wintonia,wyntonia
tanais fl.,fluvius tanays
samaria i.,samaria insula
sardinia,sardinia
bactria r.,blactrica
gorgades i.,gorgades insula
achaia,acaya
abidos i.,abidos
media r.,media
bethlehem,betleem
tigris fl.,[tigris fl.]
paradisus,[paradisus]
euphrates fl.,[euphrates fl.]
