normalized,diplomatic
asia,Asia
europa,Europa
africa,Affrica
india,India
aracusia,Aracusia
parthia r.,parthia
assiria,assiria
persia,persis
indus fl.,indum
tigris fl.,tigrim
mesopotamia,Mesopotamia
chaldea,caldea
arabia,arabia
euphrates fl.,eufratem
siria,syria
phenicia,phenicia
palestina,palestina
judea,iudeam
galilea,galileam
mediterraneum mare,mare mediterraneum
scythia,scithia
caspium mare,mari caspio
euxinus pontus,euxinum pontum
tanais fl.,fluvium tanaim
amazonia r.,amazonia
albania,albania
hyrcania,hirchania
bactria r.,bactria
iberia,hyberia
armenia,armenia
capadocia r.,cappadocia
colchos r.,colchos
asia minor,asia minor
cilicia,cilicia
rubrum mare,mare rubrum
orientalis o.,occeano orientali
australis o.,occeanum australem
ethiopia,ethiopia
ethiope m.,montibus ethiopicis
occidentalis o.,occeanum occidentale
egyptus superior,egyptus superior
egyptus d.,deserta egypti
libia superior,libia superior
egyptus inferior,egyptus inferior
nathabres,ethiopes nadaberes
garamantes,garamantes
libia cirenensis,lybia cirenensis
tripolitana r.,tripolitana
mauritania sitifensis,sitifensis
zeugis r.,zeugis
getulia,getulia
numidia,numidia
tingitania,tingitania
mauritania,mauritania
sirtes,syrtes
athlanticum o.,occeanum athlanticum
africa d.,desertis affrice
daci g.,daci
gothi g.,gothi
alani g.,alani
gepidi g.,gepidi
rugi g.,rugi
bulgari g.,bulgari
hunorum g.,huni vel hungari
hungari g.,huni vel hungari
nores g.,nores
sclavi g.,sclavi
germania,germania
alemannia,alemannia
gallia,gallia
aquitania,aquitania
hispania,hispania
hellespontus,ellesponto
moesia,mysia
histria,istria
tracia r.,tracia
macedonia,macedonia
arcadia,archadia
hellada,ellada
thessalia,tessalia
achaia,achaia
dalmaticus s.,sinu dalmatico
alpes,alpes
campania,campania
apulia,appulia
tuscia,tuscia
liguria,liguria
italia,italia qui est latium
latium,italia qui est latium
umbria r.,umbria
tirenus s.,tirrenum sinum
pirenei m.,montes pireneos
alpes gothice,alpes cotia
appennini m.,montem appenninum
longobardia,longobardia
valeria,valeria
caligardamana m.,caligardamara
samara m.,samara
scythie m.,montes scythie
immatius m.,immatius
caucasus m.,caucasus
parapanisades m.,parapanisades
taurus m.,taurus
oscobares m.,oscobares
parthau m.,partau
memarmoli m.,memarmoli
ariobaranes m.,ariobarranes
acrocerauni m.,acroceraunus
parchoatras m.,parchoatra
borea,borea
riphei m.,riphei montes
ararat m.,arath
libani m.,libanus
arabia,arabia
niseus m.,niseus
arabica d.,deserto arabie
fasga m.,mons phasga
scorpion m.,mons scorpion
sina m.,mons syna
horeb m.,mons hor
abarim m.,mons abarim
idumea,idumea
seyr m.,mons seyr
judea,iudea
hermon m.,mons hermon
carmelus m.,carmelus
gelboe m.,mons gelboe
thessalia,thessalia
olympus m.,olympus
pindus m.,pindus
ossa m.,ossa
focida,focida
parnassus m.,parnassus
citherus m.,citherus
helicon m.,elicomus
euboea,euboea
parchenius m.,parchenius
grecia,grecia
sicilia,sicilia
athos m.,athos
etna m.,ethna
alpes gothice,alpes iulie cotie
licabantus m.,licabantus
soluris m.,solurius
calpes m.,calpes
atlas m.,athlas
ganges fl.,ganges
hydaspis fl.,idaspes
indus fl.,indus fl.
araris fl.,araris
bactrus fl.,bactus
nilus,nilus
jordanis fl.,iordanis
cidnus fl.,cignus
araxis fl.,araxis
scythia inferiore,scythia inferiori
pactolus fl.,pactolus
hermus fl.,hermus
hebrus fl.,hebrus
eurotas fl.,eurotas
inachus fl.,inachus
herimantus fl.,erimanthus
sperchius fl.,sperchius
padus fl.,padus
tiberis fl.,tyberis
danubius fl.,danubius vel ister
hister fl.,danubius vel ister
renus fl.,renus
rodanus fl.,rodanus
mosa fl.,mosa
sequana fl.,sequana
ligeris fl.,ligeris
hiberis fl.,hyberus
galicia,gallitie
mineus fl.,mineus
cartagena r.,Kartaginis
tagus fl.,tagus
bagrada fl.,bagrada
taprobana,taprobane
tyle,tyle
argire,argira
crise,crisa
mediterraneum mare,mari magno
phaneriorum i.,phaneriorum
albatia i.,albatia
hyperborea i.,iperborea
apallina i.,apolitana
gangavia i.,gangavia
glosaria i.,glosaria
norimannia i.,norimannia
orcades i.,orchades
tile,tile
scotia,scotia
britannia,britannia
hibernia,hybernia
fortunate,insule fortunate
hesperidum i.,insule hesperidum
gorgades i.,insule gorgades
gaulonum i.,insula gauleum
ictiofagorum i.,insula ictiofagorum
adanum i.,adamus
coneus i.,coneus
malichu i.,malicus
gades,gades
baleares i.,baleares
stricades i.,stricades
sardinia,sardinia
corsica,corsica
cephalonia i.,cephalina
cyclades,ciclades
rodus,rodos
tenedos i.,tenedos
carpatos i.,carpathos
citherea i.,cythera
cyprus,cyprus
sidon i.,sidon
creta,creta
pathmos,pathmos
chaldea,caldea
babilon c.,babylon
assiria,assiria
nineveh,ninive
india,india
nisa,nisa
media r.,media
media c.,media
susis,susis
ctesiphon,hyctesiphon
bactria r.,bactria
bactria c.,bactrum oppidum
carras,charra
edessa,edessa
calanne,calanne
seleucia in mesopotamia,seleucia
philadelphia,philadelphia
octogora c.,ortogorra
samarcan c.,samarchan
attippi c.,attippi
alexandria in scythia c.,alexandria
scythiopolis,scitopolis
safris,vicus saphiri
antiochia,antiochia
damascus,damascus
seleucia in siria,seleucia
tyrus,tyrus
sidon c.,sidon
tarsus,tarsus
nicomedia,nichomedia
nicaea,nicea
calcedonia c.,calcedonia
sardis,sardis
ilium,ilium
ephesus,ephesus
pergamus,pergamus
tyatira c.,tiatire
samaria r.,samarie
betthaven c.,betthaven
samaria c.,samaria
cesarea in palestine,cesarea
nazareth,nazareth
chorazin,corozaim
bethsaida,bethsaida
tiberias,tyberias
cana,cana
capernaum,capharnaum
naim,naim
jerusalem,ierusalem
bethlehem,bethleem
jericho,ierico
hebron,ebron
constantinopolis,constantinopolis
panisus,panisus
nicopolis,nichopolis
cesarea philippi,philippis
sestos c.,sestos
attica,attica
athena,athene
thessalonica,thessalonica
larissa,larissa
corinthus c.,corinthus
thebe in boeotia,thebe
tafnis,tafnes
memphis,menphis
heliopolis,eliopolis
pelusium c.,pelusium
alexandria bucefola,alexandria bucefola
alexandria montuosa,alexandria montuosa
alexandria apud porum,alexandria apud porum
alexandria in scythia,alexandria in scithia
alexandria apud babilonia,alexandria apud babilonem
alexandria in egyptus c.,alexandria in egipto
alexandria apud massagete,alexandria apud massagetas
alexandria apud orgalas,alexandria apud orgalas
alexandria apud granicum,alexandria apud granicum
alexandria apud troadem,alexandria apud troadem
alexandria iuxta tigris,alexandria iuxta tigrum
alexandria apud sanctum,alexandria apud sanctum
libia cirenensis,libie cyrenensis
cirene,cyrene
parthenium,parthenium
berenice in libya c.,beronice
apollonia c.,apollonia
ptolomais,ptolomais
hadrumetum,adrumetum
roma,roma
alba,alba
capua,capua
beneventum,beneventum
sepontus,sepontus
neapolis,neapolis
tiber c.,tibur
hostia,hostia
luna,lunis
mediolanum,mediolanum
tycinum,ticinum seu papia
papia,ticinum seu papia
brixia,brixia
verona,verona
ravenna,ravenna
mantua,mantua
cremona,cremone
aquileia,aquileia
calabria r.,calabria
tarentus,tarentum
colonia,colonia
magontia,magunciacus
salzeburg,salzeburch
ratisbona,radisbona
herbipolis,herbipolis
argentora,argentina
basilea c.,basilea
treveris c.,treveris
senonis,senonis
vesontio,vesontium
lugdunum,lugdunum
rothomagum,rothomagus
remis,remis
arelatum,arelas
vienne,vienna
darantasia,daranthasia
ebredunum,ebredunum
bituris c.,bituris
turonis,turonis
burdigala,burdegala
tolosa,tholosa
narbona c.,narbona
pamplona,pamphilonia
osca,osca
barcinona,barzinona
terracona c.,tarracona
tortosa,torthosa
cartago in hispania,kartago
valencia,valentia
cordoba,corduba
girona,gerunda
hispalis,hispalis
cesar augusta c.,cesaraugusta
toletum,toletium
cartago in africa,kartago
hippo c.,hippus
megala,megala
cesaria in mauritania,cesarea
leptis,leptis
bizacium c.,bizantium
clipea,clipea
