normalized,diplomatic
verona,Verona
islandia,Island
philistea,Philistea
nineveh,Ninive
eudemon,Eudemon
luna,Luna
aracusia,Aracusia
macedonia,Macedonia
india,India
salerna,Salerna
suthbryttas,Suthbryttas
bethlehem,Betleem
antiochia,Antiochia
sirtes,Sirtes
ravenna,Ravenna
armenia,Armenia
dalmatia,Dalmatia
persia,Persidia
taprobana,Tabrobanen
constantinopolis,Constantinopolim
gad,Gad
flumen,Flumen
athena,Athenas
cantia?,Cantia?
effraim tribus,Effraim
pannonia,Pannonia
neronorroen,Neronorroen
siria,Siria
evilath,Evilath
chaldea,Chaldea
caucasus m.?,Mons
sclavi g.,Sclavi
turchi,Turchi
bithynia,Bithinia
tracia r.,Tracia
mauritania,Mauritania
moabite,Moabite
morenwergas,Morenwergas
lucca,Luca
isauria,Issauria
jerusalem,Hierusalem
roma,Roma
capadocia r.,Cappadocia
britannia,Brittania
amonite,Amonite
armachus,Archmacanum
wintonia,Wintonia
ephesus,Ephesus
attica,Attica
scridefinnas,Scridefinnas
mesopotamia,Mesopotamia
hebron,Ebron
jericho,Hiericho
scythia,Scithia
bulgari g.,Balgarii
cilicia,Cilicia
londonia,Lundona
dacia,Daria
commagena,Commagena
brigantia,Brigantia
mesina,Mesina
troia,Troia
hiberia,Hiberia
dardania,Dardania
tyle,Tylen
bizacena,Bizacene
cinocephales,Cinocephales
pavia,Pavia
galilea,Galilea
media r.,Media
boreus fl.,Boream
isachar,Isachar
sleswic,Sleswic
babilon c.,Babilonia
arabia,Arabia
ruben,Ruben
asher,Asser
alexandria in egyptus c.,Alexandria
hibernia,Hibernia
histria,Histria
taurus m.,Taurini Montes
taurus m.,Mons Taurus
orcades i.,Orcades Insula
phison,Fison Flumen
leones,Leones
colchorum r.,Colchorum Provincia
cartago in africa,Cartago Magna
gog et magog,Gog et Magog
getulia,Getule
armenie m.,Montes Armenie
dimidia tribus manasse,Dimidia tribus Manase
ethiope d.,Ethiopica Deserta
asia minor,Asia Minor
decusa,Decusa Civitas
grifes,Griphorum gens
hesperus m.,Mons Isperus
barcinona?,Barcimina Civitas?
libia ethiopes,Libia Ethiopum
danubius fl.,Danubius Fluvius
calearsem lacus,Lacus Calearsem
eraclea in africa,Aniclea
eraclea in asia minor,Aniclea
malva fl.,Fluvius Malva
gentes xliii,Gentes XL III
pentapolis,Pentapolis
ethiopes g.,Ethiopes
ypanis fl.,Flumen Ypanis
egyptus superior,Egiptus Superior
gangines ethiopes,Gangines Ethiopes
septem montes,VII Montes
nilus,Flumen Nilus
egyptus inferior,Egiptus Interior
cumri?_camri?,Cumri_Camri?
neptalim,Neptalim
nilus immergit,Hic arenis Nilus immergitur
climax m.,Mons Clinax
atlas m.,Mons Athalantis
meotides paludes,Meotides Paludes
tanais fl.,Tanae Flumen
libia ethiopes,Libia Aethiopum
sina m.,Mons Sina
libia cirenensis,Libia Cirinaria
hesperia c.,Hisperidum
tribus zabulon,Tribus Zabulon
riphei m.,Montes Ripam
meroe i.,Meroen Insula
danaper fl.,Danaper Flumen
dara fons,Fons Dara
zeugis r.,Zugis regio
pentapolis,Pentapolis
arca noe,Arca Noe
fasga m.,Mons Fasga
gaulolum g.,Gentes Gaulolum
tribus dan,Tribus Dan
tarsus,Tharso Ciliciae
neptalim,Neptalim
salinarus lacus,Lacus Salinaruus
super ardens m.,Mons Super Ardens
aureus m.,Mons Aureus
albanorum r.,Albanorum Regio
olympus m.,Mons Olimpus
hispania citerior,Ispania Citerior
gilead m.,Mons Galaad
manasse,Mannase
tingis,Tingis metropolis
hunorum g.,Hunorum gens
arabica d.,Arabica deserta
cesarea philippi,Cesarea Philippi
parthau m.,Mons Farthau
caspium mare,Mare Caspium
sicilia,[sicilia]
borei promontorium,[promontori borei]
columpne herculis,[columpne herculis]
nili fons,[fons nili]
transitus hebreorum,[transitur hebreorum]
