normalized,diplomatic
abarim m.,Abarim
abidos c.,abidos
abidos i.,Abidos
abricatina,Abricatina
accon,Accaron
actia nicopolis,Accia
achaia,Achaia
acrocerauni m.,Acrocerauni
adanum i.,Adamantus
adrianopolis,Adrianopolis
adriaticus s.,Adriaticum
africa,Africa
africa catharginensis,Africa Carthaginensis
africa minor,Africa Minor
africa numidiana,Africa Numidiana
aginno,Aginno
aglos,Aglos
agregentum,Agris
airoth,Airoth
alania,Alania
alba,alba
albani,Albani
albania,Albania
albania superior,Albania superior
albania inferior,Albania inferior
albanicus o.,Albanicus
albula,Albula
alemannia,Alemannia
are alexandri,Alexandri Are
castra alexandri,Alexandri Castra
columpne alexandri,Alexandri Columpne
alexandria in egyptus c.,Alexandria
alpes,Alpes
alpes gothice,Alpes Gothice
amana,Amana
amandros,Amandros
amazonia r.,Amazones
ambianis,Ambianis
ancona,Ancona
andegavis c.,Andegavis
anglia,Anglia
ansaga fl.,Ansaga
antiochia,Antiochia
antopolis,Antopolis
anthropophagi,Antropofagi
apallina i.,Apallina
apamia,Apamia
apollonia c.,Apollonia
appennini m.,Appennini
apulia,Apulia
aquileia,Aquileia
aquilonalis o.,Aquilonalis
aquis,Aquis
aquitania,Aquitania
ara,Ara
arab,Arab
arabia,Arabia
eudemon,Arabia Eudemon
arach,Arach
aracusia,Aracusia
araris fl.,Arar
ararat m.,Ararath
arausica,Arausica
araxis fl.,Araxis
archad,Archad
arcadia,Archadia
archimedon,Archimedon
archipoleta lacus,Archipoleta
ardennes,Ardenna
arelatum,Arelatum
argentora,Argentora
argus,Argus
argire,Argyria
arimaspi,Arimaspi
arumphei,Arimfei
ariobaranes m.,Ariobaranes
armenia,Armenia
armenia inferior,Armenia inferior
armenia superior,Armenia superior
arsinoe,Arsinoe
artobatitis,Artabaite
avernia r.,Arverni
avernis c.,Arvernus
ascalon,Ascalon
asia,Asia
asia maior,Asia maior
asia minor,Asia minor
asiaticum mare,Asiaticum
aspides,Aspides
assiria,Assyria
astrixis m.,Astrixus
athandros,Athandros
athena,Athene
atlas m.,Athlas m.
atrebatum,Atrebatum
attica,Attica
avenna m.,Avenna
augusta,Augusta
augustudunus,Agustudunus
aulon cilicus,Aulon Cilicus
aulona,Aulona
aureus m.,Aurei
aurelianis,Aurelianis
auseium,Auseium
australis o.,Australis
austria,Austria
autisiodorum,Authisiodorus
axona fl.,Axona
aves,Aves fulgore perspicue
azotus,Azotus
babilon c.,Babilon
babilonia r.,Babilonia
bactria r.,Bactria
bactria c.,Bactriani
bactrus fl.,Bactrus
bagrada fl.,Bagrada
baioaria,Baioaria
baiogas c.,Baiogas
baleares i.,Baleares
balearicum m.,Balearicum
maiorca,Balearis maior
minorca,Balearis minor
bar,Bar
barcinona,Bacinola
basidim,Basidim
basilea c.,Basilia
basilicus,Basiliscus
batavia,Batavi
berenice p.,Besime portus
belvagus,Belvagus
beneventum,Beneventum
berenice in libya c.,Berenice
beroe,Beroe
bethania,Bethania
bethel,Bethel
bethlehem,Bethleem
bethoron,Bethoron
bethsaida,Bethsaida
baetica,Betica
baetis fl.,Betis
birete,Birete
bithynia,Bithinia
bituris c.,Bituris
bituriges r.,Bituiges
bizacium c.,Bizachium
