normalized,diplomatic
marsop? parandus?,marsop?
chersonesos?,canospatos
sicilia,sicaria
gasan,gasan
pellicie,pellicie
triballi,trivalli
astabus fl.,fluvius astabus
piperis silva,Siluas pipereas
caria,caria insula
mecca?,mekesus civitas
narbonne,narbona
hydraotes fl.,fluvius pasma
compostela,compostrinia
cabilla,cabilla
circius v.,circius
rokesburgia,rokesburgia
carnotum,carnocum
philli g.,philli
hungari g.,hungari
aquilo v.,aquilo
reate,reaus
massilia,massilia
septentrio v.,septentrio
snawedon m.,snawedon
trevirorum,verona
salzeburg,Salzeburgh
palerma,palerna
tadan,cadan
termopile,Termopile
eboracum,Eboracum
brucii,Brucii
pandea g.,pandea
minutanda,Minutanda
diospolis,Diospolis
moesia,Messia
corsica,corsica
leucasia,Leocotea
scioena,Scioena
brabancia,brabannia
oterawie,Oterawie
enos c.,enos
spinx?,pines
patera,Patera
notingera,Snotingham
sestos c.,Sestos
patavium,Patavium
metis,metis
kersina,kersina
scenas,stenas
capadocia r.,capadocia
siria,siria
argus,argos
africa,affrica
lucca,luca
hur,hur
sardinia,sardinia
fatua,fatua
bulgari g.,bulgarii
hibernia,hibernia
madian,madian
lidia,lidia
nevirus,nevirus
messana,mesana
hippo diarrtus,uppus diartus
hellespontus,hellespontus
barcinona,basella
neutoma,neutoma
therampnus,erampnus
lugdunum,lugdunum
getulia,getulea
ericusa i.,esisua
duremia,duremia
choos,choos
ratisbona,ratispona
tornacus,tornacum
desipea,desipea
assiria,assiria
scotia,scocia
austerafricus v.,austeraffricus
hiberia,thiberia
metus,metus
theode,theode
augustudunus,augustudunum
luna,luna
augusta,augusta
fardin,fardin
candaber,candaber
autisiodorum,autisiodorum
ilerria,ilerria
sclavi g.,sclavi
veredunus,vendum
sercles,sercles
eurusnothus v.,eurusnothus
noviomus,novicum
constantinopolis,constantanopolis
norwegia,noreya
cornicularia,nilaca
puteolis,puteolis
aurelianis,aurelianum
sirmium,sirinum
beritus,beritus
tudertina,tudertina
meotides paludes,paludes
carnotum,carinicum
sobas,sobas
tubalus,tubalus
vivencium,vivencium
lampsacus,lamascus
colestria,Colcestria
bizas i.,bises
scythia,scythia
gallipolis,callipolis
flaminia,flammin
cotonia,cotonia
cunwey,cunwey
bithynia,binnia
stripodes,stripodes
macedonia,macedonia
islandia,ysland
dardania,dardania
perusium,perusium
ebredunum,ebredunum
leugas,leugas
bononia francia,bononia
bituris c.,biturrica
listra,listra
wasconia,gasconia
basilea c.,basel
roucestria,roucestria
armenia,armenia
alpes,alpes
rithymna,in rima
corinthus c.,corinthus
anglia,anglia
phison,phison
rodus,rodos
anthropophagi,anthropophagi
pharsalus?,parchadus
passaidie,passande
armenia,armenia
calcedonia c.,calcidonia
bathe,bathe
andropolis,andropolis
nubii g.,nibei
osca,osca
edenburgh,edenburgh
weccla,weccla
