normalized,diplomatic
hispania,Hispania
hesperia r.,Hesperia
lusitania,Lusitania
galicia,Gallicia
terracona c.,Terracona
barcinona,Barcinona
hiberis fl.,Yberus
pirenei m.,Mons piereneus
gallia,Gallia
aquitania,Aquitania
narbona c.,Bracata/Narbona
wasconia,Gasconia
burgundia,Burgundia
neustria,Neustria
flandria,Flandria
morini,Morini
rodanus fl.,Rodanus
renus fl.,Renus
italia,Italia
tuscia,Tuscia
emilia,Emilia
umbria r.,Ymbria
sabinia,Sabinia
campania,Campania
apulia,Apulia
grecia magna,Magna Grecia
venetia,Venecia
histria,Histria
roma,Roma
capua,Capua
lavinia,Lavinia
jovis m.,Mons Iovis
achaia,Achaia
arcadia,Archadia
baioaria,Boioaria
dalmatia,Dalmacia
dardania,Dardania
grecia,Grecia
macedonia,Macedonia
magnesia,Magnesia
moesia,Mesia
noricus,Norica
pannonia,Pannonia
retia,Recia
thessalia,Thessalia
tracia r.,Tracia
athena,Athenis
maronea,Maronea
danubius fl.,Danubius
alemannia,Alemannia
dacia,Dacia
gothia,Gothia
germania,Germania
hunorum g.,Huni
norwegia,Norwegia
lazorum g.,Lazorum Gens
provincia r.,Provincia
scythia,Sithia
hippodes,Ypopodes
hyrcania,Hircania
panotii,Pannothi
taurus m.,Mons Taurus
caucasus m.,Mons Caucasus
bactria r.,Bactria
margiana,Margiana
tanais fl.,Fl. Tanais
octogora i.,Octogorra
armenia,Armenia
bithynia,Bithinia
capadocia r.,Cappadocia
caria,Caria
frigia,Frigia
galatia,Galacia
lama,Lama
licia,Licia
lixus c.,Lyc'
paflam g.,Paflag
pamphilia r.,Pamphilia
pontica,Pontica
teutonica,Teutuna
troia,Troia
saxonia,Saxonia
scanzia,Scanzia
sclavi g.,Sclavi
suevia,Suevia
wandalia r.,Wandali
cilicia,Cilicia
siria,Siria
phenicia,Phenicia
palestina,Palestina
galilea,Galilea
judea,Iudea
philistea,Philistea
idumea,Ydumea
arabia,Arabia
saba ethiopia,Saba Ethiopie
moab og. basan,Moab Og. Basan
thalassa,Thalassar
mesopotamia,Mesopotamia
babilonia r.,Babilonia
chaldea,Chaldea
aracusia,Aracusia
assiria,Assiria
parthia r.,Parthia
media r.,Media
persia,Persida
carsinia,Carsinia
ophir,Ofir
india,India
egyptus superior,Superior Egyptus
egyptus inferior,Egiptus inferior
alexandria in egyptus c.,Alexandria
babilon c.,Babilon
meroe i.,Meroen
garamantes,Provinica Garamantum
sirtes maiores,Sirtes maiores
cirene,Cyrenaica
libia,Lybia
getulia,Getulia
occidentalis o.,Oceanus occidentalis
septentrion o.,Oceanus spetentiron
scyticus o.,Occeanus sciticus
orientalis o.,Occeanus orientalis
euxinus pontus,Euxinus Pontus
meotides mare,Mare Meotis
tyle,Thyle
hiberus i.,Hiberus
hibernia,Hybernia
anglia,Anglia
scotia,Scocia
india ultima,India ultima
phenix,Phenix
africa,Affrica
zeugis r.,Zeugetana
bizantium,Bysancea
numidia,Numidia
mauritania cesariensis,Mauritania cesariensis
mauritania tingitana,Mauritania tingitana
ethiopum terra,Terra Ethiopum
ethiope d.,Deserta Ethiopie
cartago in africa,Cartago
septem m.,Septem montes
ponticum mare,mare ponticum
brachium georgicum,Brachium Georgicum
macedonicum mare,Mare Macedonicum
adriaticum mare,Mare Adriaticum
tyrenum mare,Mare Tyrenum
thatanna,Thatanna
mavania,Mavania
mona,Mona
orcades i.,Orcades
albatia i.,Albacia
octogora c.,Octosgorra
samara m.,Samara
colchos c.,Cholchos
solis i.,Insula solis
taprobana,Taprobana insula
argire,Argire
canaria i.,Canaria
nibaria,Nibaria
junonia,Iunonia
brionia,Brionia
gorgades i.,Gorgodes
beata,Beata
columpne herculis,Columpne Herculis
gades,Gades
liparis i.,Liparis
maiorca,Maiorica
minorca,Minorica
sicilia,Sicilia
corsica,Corsica
poncia,Poncia
creta,Creta
naxos,Naxo
rodus,Rodus
tenedos i.,Insula Tenedos
paradisus,Paradisus
antipodes,Antipodes
plaga australis,Plaga australis
zona australis frigida,Zona australis frigida
zona fervida inhabilitabilis,Zona fervida inhabilitabilis
occeanus filiis adae incognitus,Occeanus filiis Adae incognitus
