normalized,diplomatic
subsolanus v.,subsolanus
eurus v.,eurus
euroauster v.,euroauster
auster v.,auster
libonothus v.,austroafricus qui et libonothus
austroafricus v.,austroafricus qui et libonothus
africus v.,africus
chorus v.,chorus
boreus v.,aquilo qui et boreus
aquilo v.,aquilo qui et boreus
wulturnus v.,uulturnus
zephirus v.,favonius qui et zephirus
favonius v.,favonius qui et zephirus
sericus mare,Sericus occeanus
scyticus o.,Sciticus occeanus
eous o.,Eous occeanus
caspium mare,mare Caspium
taprobana,Taprobana insula plena feris et auibus
taprobana,Taprobana insula habens ciuitates decem
gaulonum i.,Gaulon[a]
gorgades i.,Gorgodes
hesperidum i.,Esperidum insule
fortunate,Fortunate insule
hibernia,Hibernia
scotia,Scotia
thanatos,Tanatos
britannia maior,Anglia insua (sic) que et Britannia maior
anglia,Anglia insua (sic) que et Britannia maior
tile,Tile insula
gog et magog,Gog et Magog
tyle,Tilos insula
crise,Crise insula
argire,Argire insula
ferrea,Ferrea insula
stridonis i.,Stridonia
erea,Erea
gorgoneos,Gorgoneos insula
cyprus,Cyprus
cimericum mare,Cimericum mare
euxinum mare,Eusinum mare
propontis mare,Propontis
hellespontus,Ellespontus
bosphorus,Bosphorus
cyprium mare,Cyprium mare
asiaticus s.,Asiaticus sinus
cilicus s.,Cilicus sinus
messicus s.,Messicus sinus
macedonicus s.,Macedonicus sinus
corinthius s.,Chorinthius sinus
illiricus s.,Illiricus sinus
liburnicus s.,Liburnicus sinus
venetia,Venetia
adriaticum mare,Adriaticum
egyptium mare,Egyptium mare
mirteum mare,Mirteum
aegeum mare,Egeum
ionium mare,Ionium
carpatium mare,Carpatum
pelusium s.,Pelusium
creticum mare,Creticum
gallicum mare,Gallicum mare
liguricus s.,Liguricus sinus
gaditanum fretum,Gaditanum fretum
gades,Gades
ebusus i.,Ebosus insula
sardinia,Sardinia
sicilia,Sicilia
corcyra,Corcira
stripodes,Stripodes
liparis i.,Lyparis
fenicus i.,Fenicus
strongile,Strongile
festia,Festia
chios,Chio
samos i.,Samos
paros,Paros
terasia,Terasia
calipso i.,Calipso
canopus i.,Canopia
rodus,Rodus
choos,Choos
pathmos,Pathmos
colchos i.,colchos
cyprus,Cyprus
creta,Creta insula
ganges fl.,Ganges fl.
indus fl.,fl. Indus
tigris fl.,fl. Tigris
hydaspis fl.,fl. Idaspis
araris fl.,fl. Arbis
euphrates fl.,Fl. Eurfrates
euxis fl.,Fl. Euxis
jordanis fl.,Iordanis
araxis fl.,fl. Araxis
boreus fl.,fl. Boreus
tanais fl.,fl. Tanais
caligardamana m.,Caligardamana promontorium
maleus m.,mons Maleus
taurus m.,mons Taurus
libani m.,mons Libanus
sina m.,mons Synai
ararat m.,Ararath montes Armenie
caucasus m.,mons Caucasus
acrocerauni m.,Acrocerauni
ariobaranes m.,Ariobarzanes
memarmoli m.,Memarmoli
oscobares m.,Oscobares
timavus m.,Timauus
caspie p.,Porte Caspie
bactria c.,Bactriani
india,India que finem facit
cathmorum,Cathmorum gens optima
enoch,c. Enoch
columpne alexandri,columpne Alexandri
nisa,c. Nisan
polibota,c. Palibotra
heriforum,c. Eriforum
carra,c. Carra
nineveh,c. Niniue
ctesiphon,c. Ectesifon
archimedon,c. Archimedon
edessa,c. Edessa
babilon c.,c. Babilon
adrianopolis,c. Adrianopolis
arca noe,archa Noe
seleucia in siria,c. Seleucia
lauditia c.,c. Lauditia
antiochia,Antiochia
temiscerii campi,Temiscerii campi
decusa,c. Decusa
cesarea philippi,c. Cesarea Philippi
nazareth,c. Nazareth
capernaum,c. Capharnaum
nicomedia,c. Nichomedia
tyrus,c. Tyrus
ioppe,c. Ioppe
jerusalem,c. Ierusalem
bethlehem,c. Bethleem
jericho,Iericho
seres c.,c. Seres
safris,uicus Safrim
hyrcania superior,Hircania superior
sarmathana c.,c. Sarmathana
catippi c.,c. Catippi
alexandria in scythia c.,c. Alexandria
armenia superior,Armenia superior
hiberia,Hiberia
hyrcania inferior,Hircania inferior
albania superior,Albania superior
amazonia r.,Regio Amazonum
are alexandri,are Alexandri
meotides paludes,Meotide paludes
hyrcania silva,Hicania silua
arumphei,Arimphei
ypanis fl.,fl. Ypanes
lemannus fl.,fl. Lemannus
dravus fl.,fl. Drabo
savus fl.,fl. Sabo
strimon fl.,fl. Strimon
danubius fl.,fl. Danubius
tiberis fl.?,fl. Ty[?]
renus fl.,fl. Renus
rodanus fl.,fl. Rodanus
theodosia,c. Theodosia
alania,Alania
cersona,c. Cersona
scythia inferiore,Scitia inferior
constantinopolis,c. Constantinopolis
ransburg,c. Ransburg
eraclea in boeotia,c. Eraclea
beroe,c. Beroe
larissa,c. Larissa
lorum,c. Lorum
corinthus c.,c. Chorintus
athena,c. Athene
dirracium,c. Dirracium
thebe in boeotia,c. Thebe
bononia italia,Bononia
mediolanum,c. Mediolanum
italia,Italia
roma,c. Roma
ravenna,Rauenna
gallia,Gallia
magontia,c. Magontia
normannia,Normannia
rothomagum,c. Rotomagus
belvagus,c. Beluacus
remis,c. Remis
lugdunum,c. Lugdunum
arelatum,c. Arelatum
provincia r.,Prouintia
burdigala,c. Burdegala
aquitania,Aquitania
hispania,Hispania
cesar augusta c.,c. Cesaraugusta
cordoba,c. Corduba
archipoleta lacus,Archipoleta lacus quem Nilus ingreditur
nilus emergit,hinc Nilus emergit
bagrada fl.,fl. Bagrada
ansaga fl.,fl. Ansaga
dara fl.,fl. Dara
nuchul fl.,fl. Nuchul qui et Nilus
nilus,fl. Nuchul qui et Nilus
astrixis m.,mons Astrixis
atlas m.,mons Athlas
lupus  cornutus,lupus cornutus
leo,leo
simie,simie
serpentes,serpentes
coluber mire longitudinis,coluber mire longitudinis
prester,prester
ethiopie d.,Ethiopum deserta loca
monasteria monachorum egyptiorum,monasterium monachorum Egypti
egyptus d.,Egyptiaca deserta
meroe c.,Meroe c.
castra alexandri,castra Alexandria
paretonium,c. Paretonium
sirtes,syrtes
are philenorum,are Philenorum
tuburbis,c. Tuburbis
cartago in africa,c. Cathargo
bizacium c.,c. Bizatium
hippo r.,Yppo Regium
septem oppidum,c. Septem oppidum
lixus c.,c. Lix
hesperia c.,c. Esperia
octogora c.,c. Octorogorra
circius v.,circius qui est gallicus
gallicus v.,circius qui est gallicus
