normalized,diplomatic
india,India
parthia r.,Parthia
media r.,Media
africa,Affrica
persia,Persia
mesopotamia,Mesopotamia
chaldea,Caldea
arabia,Arabia
siria,Syria
judea,Judea
galilea,Galilea
samaria r.,Samaria
palestina,Palestina
frigia,Frigia
nicomedia,Nichomedia
albania,Albania
cyprus,Cypro Insula
armenia,Armenia
creta,Creta Insula
licaonia,Licaonia
sicilia,Sicilia
capadocia r.,Capadocia
scythia superiore,Sithia Superiore
scythia inferiore,Sithia Inferiore
hyrcania,Hyrcania
jazaron,Thazaron
aracusia,Aracusa
meda,Meda
thesia,Thesia
persepolis,Persepolis
edessa,Edessa
carras,Carra
philadelphia,Philadelphia
antiochia,Antioch
jerusalem,Jerusalem
nazareth,Nazaret
sagasta,Sagasta
ascalon,Ascalon
troia,"Ilium, id est Troia"
ilium,"Ilium, id est Troia"
bithynia,Bithinia
parthan in albania c.,Spartum
paphos,Paphus
calcedonia c.,Calcedonia
creta,Creta insula
hecatompolis,Centapolis
iconium c.?,Niacetum
syracuse,Syracusana
elam,Elam
asia maior,Asia Maior
asia minor,Asia Minor
susa c.?,Susa?
sebastea in palestina,Sebaste
archimedon,Archademon
susis,Dusis
nineveh,Nineve
babilonia c.,Babilonia magna
damascus,Damascus
bethlehem,Bethleem
capernaum,Capharneum
tarsus,Tharsis
azotus,Azotus
egyptus,Egypto
alexandria in egyptus c.,Alexandria
sithe,Glath
memphis,Memphis
ethiopia,Etheopia
nathabres,Nadaber
cilicia,Cilicia
ephesus,Ephesiss
catania,Cathinia
capadocia c.,Capadocia
abidos c.,Abidus
gangara,Gangaria
padaum c.,Padaum
europa,Europa
grecia,Grecia
tracia r.,Tracia
boeotia,Boetia
achaia,Achaia
dardania,Dardania
dalmatia,Dalmatia
lacedemonia r.,Lacedomonia
thessalia,Thessalia
thessalia minor,Thessalia Minor
italia,Ytalia
apulia,Apulia
campania,Campania
galicia,Galecia
hispania,Hyspania
wasconia,Wasconia
aquitania,Aquitania
pictavia r.,Picatuia
neustria,Neustria
francia,Francia
alemannia,Allemannia
saxonia,Saxonia
dacia,Dacia
suevia,Sucia
gothia,Gotia
bulgaria,Bulgaria
wandalia r.,Wandalia
germania,Germania
pannonia,Pannonia
moesia,Messia
gallia belgica,Gallia Bellica
britannia,Britannia Maior
belgis c.,Ciuitas Belgis
hibernia,Hybernia
scotia,Scotia
norwegia,Norwegia
libia,Libia
cirene,Cirene
ethiopia ulterior,Ethiopia ulteriore
saba,Saba
zeugis r.,Zeugi
cartago in africa,Kartago
numidia,Numidia
hippo c.,Ippone
getulia,Getulia
tingitania,Tingitanea
tingis,Tingis
mauritania,Mauritania
cesarea in palestine,Cesarea
ethiopia occidentalis,Ethiopia Occidentalis
gades,Gades
atlas m.,Mons Athlas
ethiopia orientalis,Ethiopia Orienatalis
roma,Roma
burdigala,Burdeles
londonia,Londonia
cantuaria,Cantuaria
dublina,Dublina
armachus,Armachus
sancti andree,Sancti Andree
