normalized,diplomatic
albania inferior,Albania Inferior
amazones g.,Amazones
albania superior,Albania Superior
armenia,Armenia
persia,Persida
hyrcania,Hircania
coromarces r.,Regio coro
lachis,Lachis
antiochia,Antiochia
accon,Arcaron
cesarea in palestine,Cesarea Palestine
chorazin,Corozaim
bethsaida,Betheida
tiberias,Thiberiadis
siria,Syria
nineveh,Ninive
licia,Licia
parthan in albania c.,Spartan
cyropolis,Ciropolis
carras,Carnis
safris,Saphiri
sarina?,Sarina?
jazaron,Iazaron
nisibi,Nisapi
polibota,Pabibora
capadocia c.,Capadocia
calcedonia c.,Calcidonia
troia,Troia
persepolis,Peliopolis
persepolis,Pesiopolis
jericho,Iericho
bethlehem,Belehem
jerusalem,Ierusalem
azotus,Azotus
elam,Elam
theodosipolis,Theodosopolis
asia maior,Asya Maior
asia minor,Asya Minor
octogora c.,Octogora
hermus fl.,Fluvius Hermes
cintilis fl.,Fluvius Cintilis
riphei m.,Mons Riphei
oscobares m.,Mons  Orcatoten
libani m.,Mons Libani
excelsus m.,Mons Excelsus
ganges fl.,Ganges
syon m.,Mons Syon
dan fl.,Fluvius Dan
jor fl.,Ior
torrens cison,Torrens Cedron
stannum,Stannum
gennesar l.,Stannum Genesar
mortuum mare,Mare Mortuum
euphrates fl.,Euphrates
tigris fl.,Tigris
atlas m.,Mons Athlans
gorgades i.,Gorgades
are liberi,Are Liberi et Columne Erculis
columpne herculis,Are Liberi et Columne Erculis
are alexandri,Are Alexandri
arbor solis,Arbor Solis
arbor lune,Arbor Lune
turris babilon?,Turris
puteus josep,Puteus Josep
arumphei,Arumphei
albatia i.,Abatiam
arca noe,Arca Noe
larissa,Larissa
constantinopolis,Constantinopolis
galatia,Galatia
aquitania,Equitania
normannia,Normannia
burgundia,Burgundia
lugdunum,Lugdunensis
hispania,Hisspania
scythia,Citia
sithe,Citha
sarmatica r.,Sarmatica
saxonia,Saxonia
grecia,Grecia
achaia,Adchaia
norwegia,Norwegia
ruscia,Ruscite
slavenia occidentalis,Sclaveni Occidentalis
hyperborea g.,Iperboria
britannia minor,Bri[ttany]
hungaria,Hungaria
macedonia,Macedonia
dalmatia,Dalmatia
sicilia,Sisilia
creta,Creta
calipso i.,Calipso
mare,Mare
barcinona,Barcinona
terracona i.,Teracona
parisius,Parisius
bolonia,Bolonia
colonia,Colonia
roma,Roma
saale,Ala
phison,Phison
danubius fl.,Danubius
volga fl.,Olcus
suevus m.,Mons Suevus
hibernia,Ibernia
britannia,Britannia
cornubia,Cornubia
wallia,Walni
scotia,Scocia
nathabres,Mathabres
zeugis r.,Zeugis
getulia,Getulia
ethiopia,Ethiopia
egyptus,Egyptus
alexandria r.,Prov. Lexandria
geon fl.,Geon
mauritania,Mauritania
damietta,Damiete
saltabri,Saltabri
pelusium c.,Pelusium
daphnai,Tapnis
alexandria in egyptus c.,Alexandria
memphis,Memphis
babilonia r.,Babilonia
heliopolis,Oliopolim
phison,Phison
garema,Garema
cartago in africa,Cartago
nilus,Nilus
meroe i.,Meroe
monasterium sancti petri,Monasterium Sancti Petri
horrea josep,Orrea Iosep
berenice in libya c.,Beronice
terra arenes et sterilis,Terra arenes et sterilis
are philenorum,Are Philonorum
columpne herculis,Columpne Herculis
transitus hebreorum,[Transitus Israelis]
pirenei m.,Mons Pireneus
rubrum mare,[Mare Rubrum]
persicus s.,[Sinus Persicus]
nubie m.,[Montes Nubie]
alpes,[Alpes]
murus alexandri,[Murus Alexandri]
paradisus,[Paradisus]
amyctreae,[Amyctreae]
ora conserta g.,[Gens Ora Conserta]
monoculi,[Monoculi]
marmini,[Marmini Ethiopes]
blemmye,[Blemmye]
oculos in humeris,[Oculos in humeris]
trogodite,[Trogodite]
artobatitis,[Artobatitis]
psambari,[Psambari]
cinocephales,[Cynocephales]
sine naribus,[Sine naribus]
phanesii,[Phanesii]
anthropophagi,[Anthropophagi]
auster v.,Auster vel Nothus
septentrio v.,Ventus Septentrionalis
subsolanus v.,Subsolanus
zephirus v.,Ventus Zephirus
euronothus v.,Ventus Euronothus
aufricanus v.,Ventus Aufricinus
eurus v.,Ventus Euro
wulturnus v.,Ventus Wulturnus
circius v.,Ventus Circius
aquilo v.,Aquilo
libonothus v.,Libonothus
chorus v.,Ventus Corus
nothus v.,Auster vel Nothus
