normalized,diplomatic
pactolus fl.,pactolus
basilicus,basiliscus
are philenorum,are filenorum
tabor m.,tabor
auxona fl.,Fl. Auxona
arabia,arabia
egyptus superior,egytus superior
mauritania cesariensis,mauritania cesariensis
enos c.,enos civitas
pisa,pisa
neptalim,neptalim
aquilo v.,aquilo
alexandria in egyptus c.,alexandria civitas
charibidis,caribidis
decapolis r.,decapolis regio
zabulon,zabulon
rages c.,rages civitas
danus fl.,fl. Danius
calabria r.,calabria
tuscia,tuscia
britannia,britannia insula
creta,creta insula
caspium mare,mare caspium
ypanis fl.,fl. Yppanis
crisoroas fl.,fl. Crisoroas
euphrates fl.,fl. Eufrates
dan fl.,dan
scilla i.,scilla
media inferior,media inferior
oxus fl.,fl. Oxus
bersabee,bersabee
achaia,achaya
octogora fl.,octorogorra
mauritania sitifensis,mauritania sitifensis
armenia,armenia
transitus hebreorum,transitus hebreorum
ethiopia,ethiopia
persipolis c.,persipolis civitas
colonia,colonia
siria celes,celes siria
gansmir,ganzmir
cyprus,cyprus
corsica,corsica
sarmatica r.,sarmathe
carmania,carmania
nilus lacus,nilides lacus
sirtes minores,sirtes minores
macedonia,macedonia
terracona c.,terracona
hyrcania,hircania
madian,madian
libia,libia
meroe i.,meroe insula
calearsem lacus,calearsus lacus
horrea josep,horrea joseph
trogodite,trogodite
illiricum r.,illiricus
indus fl.,fl. Indus
ramesses,ramesse
piperis silva,silva piperis
retia maior,retia maior
canopus i.,canopus insula
hiberis fl.,fl. Hiberus
india,india
parisius,parisius
jericho,jericho
asia minor,asia minor
danubius fl.,danubius
mortuum mare,mare mortuum
fortunate,insule fortunate
ethiope m.,montes ethiopie
galilea superior,galilea superior
tyrus,tirus
mesopotamia,mesopotamia
jaboc fl.,jaboc
hispania,hispania
caspie p.,caspie porte
island,island
prochenissa i.,insula prochenissa
rapharrica i.,rapharrica insula
roma,roma
constantinopolis,civitas constantinopolis
alpes,alpes
acesines fl.,fl. Acesines
veneticum mare,mare veneticum
persicus s.,sinus persicus
magontia,magontia
antiochia,antiochia civitas
media superior,media superior
tile,tiles insula
pirenei m.,mons pireneus
cinocephales,cynocephales
triton fl.,fl. Triton
mauritania tingitana,mauritania tingintania
retia minor,retia minor
italia,italia
hellespontus,hellespontus
gallia belgica,gallia belgica
atlas m.,mons mons athlas
sicilia,sicilia
histria,histria
hibernia,hibernia
fernus fl.,fernus fl.
amorrei,amorrei
albania,albania
cartago,katago
nubie m.,montes nibie
albatia i.,albatia
templum jovis,templum iovis
galicia,galicia
frisones g.,fresones
terracona i.,terraconta insula
pannonia,pannonia
paradisus,paradisius
sina m.,mons sina
cesarea in palestine,cesarea
pterophoron,apterofon
sefar m.,mons sefar
africa,affrica
galilea inferior,galilea inferior
amanus m.,mons amanus
tanais fl.,fl. tanais
tiberis fl.,fl. Tiberis
troia,troia
tigris fl.,fl. Tigris
umbria m.,mumbara
moesia,moesia
padus fl.,padus
corinthus c.,corinthia
ganges fl.,fl. Ganges
judah,iuda
elamite,elamite
alemannia,alemannia
arnon c.,arnon
arnon fl.,arnon
asher,aser
anthropophagi,anthropophagi
dan fons,fons dan
hister fl.,fl. Hister
hydaspis fl.,fl. Ydaspis
libani m.,m. libanus
ligeris fl.,liger fl.
maximus lacus,lacus maximus
hippo r.,yppone regium
cotonare p.,cotonare portus
ascalon,ascalon
bethlehem,bethleem
rothomagum,roem
germanicus s.,sinus germanicus
amazonia r.,amazonia
lucania,lucania
arabica d.,arabica deserta
minorca,minorga
mene i.,mene insula
cimericum mare,mare cimericum
frigia,frigia
sidon c.,sidon
triton lacus,lacus
catabathmon m.,mons catabathmon
oriens,oriens
isachar,ysachar
jor fons,fons ior
jerusalem,ierusalem
geon fl.,fl. Gion
aureus m.,aurei montes
pictavia r.,picatvis
hyperborea g.,gens yperborea
gallicus fl.,fl. Gallacus
tracia r.,tracia
egyptus inferior,egiptus inferior
garonna,fl. Garunna
chobar fl.,fl. Cobar
letheus fl.,lethon fl.
maiorca,maiorga
cardia c.,cardia
gilead m.,mons galaad
rinocorua fl.,rinocorua
rinocorua c.,rinocorua
campania,campania
andegavia r.,andagavis
propontis mare,mare propontidis
numidia,numidia
cyclades,cyclades insule
colchos r.,cholcos
hesperus m.,mons hisperus
bactria r.,bactria
rodanus fl.,fl. Rodanus
brucii,brucii
norwegia,noreya
rodus,rodos
benjamin,beniamin
simeon,simeon
nubie p.,porte nibie
noricus,noricus
bizacena,bizacena regio
ardens m.,mons ardens
orcades i.,orcades
apulia,apulia
damascus,damascus civitas
dravus fl.,drava
babel,babel
sardinia,sardinia
acheron fl.,fluvius acheron
mosa fl.,mosel
longobardia,longobardia
nisa,nisa civitas
sirtes maiores,sirtes maiores
danorum et saxanum terminus,terminus danorum et saxanum
iturea r.,iturea et traconitidis regio
traconitidis r.,iturea et traconitidis regio
europe et affrice terminus,terminus europe et affrice
taprobana,taprobana insula
effraim m.,effraim et dimidia tribus manasse
dimidia tribus manasse,effraim et dimidia tribus manasse
sancti antonii monasteria,monasteria Sancti Antonii
ruben,Ruben et Gad et dimidia tribus Manasseh
gad,Ruben et Gad et dimidia tribus Manasseh
dimidia tribus manasse,Ruben et Gad et dimidia tribus Manasseh
sabaria sancti martini,sabarria civitas Sancti Martini
fialus fons nili,fialus Fons Nili
nilus immergit,hic mergitur Nilus
dacia,dascia et russia
ruscia,dascia et russia
grifes,griffe
asie et europe terminus,terminus asie et europe
asie et affrice terminus,terminus asie et affrice
gog et magog,gog et magog
